Pool_ID,Aedes_atropalpus,Aedes_japonicus,Aedes_spp,Anopheles_puntipennis,Culex_restuans,Culex_territans
BP-01,0,27,0,0,0,16
BP-03,0,0,1,0,0,0
BP-05,0,0,0,0,0,1
BP-06,0,8,2,0,0,0
BP-07,0,2,0,0,0,0
BP-08,0,2,0,0,0,0
BP-10,4,3,0,0,0,0
BP-11,0,1,2,0,0,0
BP-12,0,0,1,0,0,0
BP-13,0,2,0,0,0,0
BP-14,0,0,1,0,0,0
BP-15,0,23,0,0,0,33
BP-17,0,10,0,0,0,0
BS-01,7,18,0,0,15,19
BS-02,0,0,0,1,0,0
BS-08,10,0,0,0,0,0
BS-11,42,0,0,0,0,0
BS-12,39,0,0,0,0,0
BS-15,1,0,0,0,0,0
BS-16,1,16,0,0,0,0
BS-17,44,41,0,0,0,0
BS-19,8,0,0,0,0,0
BS-20,17,0,0,0,0,0
BS-22,13,0,0,0,0,0
CR-01A,25,0,0,1,0,0
CR-01B,25,1,0,1,0,0
CR-02A,1,0,0,0,0,0
CR-02B,10,6,0,4,0,0
CR-03A,11,0,0,0,0,0
CR-03B,1,16,0,2,0,0
CR-05A,4,5,0,0,0,0
RG-01,20,6,0,0,0,0
RG-08,0,1,0,4,0,11
RG-09,6,0,0,0,0,0
RG-12,60,71,0,0,0,0
RG-13,15,741,21,3,4,1
RG-14,1,117,0,0,0,0
UWFPR-01,0,1,5,0,0,0
UWFPR-05,0,7,0,0,0,0
UWFPR-06,0,3,0,0,0,0
UWFPR-11,0,31,0,0,0,0
UWFPR-12,0,19,0,0,0,0
UWFPR-13,0,55,0,0,0,0
UWFPR-15,0,0,0,0,0,21
WS-01,2,0,0,0,0,1
WS-03,9,2,0,0,0,0
WS-04,0,0,0,7,0,4
WS-07,1,0,0,0,0,0
WS-11,1,1,0,0,0,0
WS-12,4,3,0,0,0,0
WS-22,3,0,0,0,0,0
WS-24,0,0,0,10,0,0
WS-27,13,3,0,2,0,0
WW-03,0,19,0,0,0,0
WW-17,9,49,0,0,0,0
WW-21,1,0,0,0,0,0
WW-27,21,163,0,1,0,1
WW-29,0,50,0,0,0,20
